SEQ WRITE (MiB/s),SEQ READ (MiB/s),RAND WRITE (MiB/s),RAND READ (MiB/s)
22.53,34.48,15.12,34.73
21.74,34.48,15.24,34.74
21.09,34.48,15.53,34.72
22.28,34.48,14.88,34.72
21.58,34.45,16.85,34.72
